+----------+----------+----------------------------+---------------------------+------------------+-------------------------+---------------------+
| Targets  | Z        | Semi-Majour axis (arcsec)  | Semi-Minor axis (arcsec)  | area (arcsec^2)  | Minimum # mosaic tiles  | Total Time (hours)  |
+----------+----------+----------------------------+---------------------------+------------------+-------------------------+---------------------+
| JO1      |          | 11.40                      | 6.36                      | 227.7780338      | 5                       | 1.1                 |
| JO2      | 0.05541  | 9.78                       | 9.78                      | 300.4883108      | 6                       | 1.3                 |
| JO4      | 0.06484  | 11.40                      | 7.08                      | 253.5642263      | 5                       | 1.1                 |
| JO5      | 0.04762  | 21.00                      | 11.4                      | 752.0972813      | 14                      | 3.0                 |
| JO7      |          | 13.80                      | 10.2                      | 442.2105819      | 8                       | 1.7                 |
| JO8      | 0.0442   | 13.80                      | 12                        | 520.2477434      | 10                      | 2.2                 |
| JO9      | 0.04719  | 17.40                      | 15                        | 819.9556826      | 15                      | 3.3                 |
| JO10     | 0.03995  | 17.82                      | 10.68                     | 597.900374       | 11                      | 2.4                 |
| JO11     |          | 16.80                      | 8.4                       | 443.3415553      | 8                       | 1.7                 |
| JO12     | 0.04794  | 21.00                      | 11.4                      | 752.0972813      | 14                      | 3.0                 |
| JO13     | 0.0504   | 19.20                      | 16.8                      | 1013.352126      | 19                      | 4.1                 |
| P12823   | 0.0487   | 21.60                      | 10.2                      | 692.1556934      | 13                      | 2.8                 |
| P16762   | 0.043    | 15.60                      | 7.8                       | 382.2689941      | 7                       | 1.5                 |
| P18060   | 0.0406   | 15.60                      | 11.4                      | 558.7008375      | 10                      | 2.2                 |
| P19482   | 0.0489   | 15.60                      | 9                         | 441.0796086      | 8                       | 1.7                 |
| P20159   | 0.0678   | 22.20                      | 8.4                       | 585.844198       | 11                      | 2.4                 |
| P40457   | 0.0562   | 26.40                      | 7.2                       | 597.1539316      | 11                      | 2.4                 |
| P63947   | 0.0403   | 12.00                      | 10.2                      | 384.5309408      | 7                       | 1.5                 |
| P95080   |          | 11.48                      | 11.4                      | 411.1967252      | 8                       | 1.7                 |
+----------+----------+----------------------------+---------------------------+------------------+-------------------------+---------------------+
